model,noise_std,OA,AA,kappa
QHSA-Net,0.0,98.77671869724438,97.95478692621681,98.37826943155285
QHSA-Net,0.05,74.7967690829286,81.09133108961831,69.05342434317741
QHSA-Net,0.1,63.31194971820378,72.18935267929366,56.2507642836788
QHSA-Net,0.15,49.827286185492035,66.57812018436,42.93084571311165
QHSA-Net,0.2,37.072435914084615,61.250261516633294,30.834893851595034
QHSA-Net,0.3,23.738409994026437,53.03184586531412,18.986867075201218
QHSA-Net,0.5,15.35205048957224,40.95312338366792,12.275521058219873
SSRN,0.0,99.89870919149158,99.78493610439675,99.86578579815702
SSRN,0.05,27.40825390229333,41.7028380032675,18.879320076754603
SSRN,0.1,25.174661714671586,31.429116348866355,15.882893256324614
SSRN,0.15,24.283822039841052,28.478146049986705,14.655221117837824
SSRN,0.2,23.50206477417344,26.12705799451933,13.615504106956411
SSRN,0.3,22.200867464872868,23.089517659170426,12.029780824584368
SSRN,0.5,19.715346856089138,19.88076953123116,9.35972884907047
3D-CNN-Only,0.0,93.43168064826118,90.1319298390037,91.25069469012365
3D-CNN-Only,0.05,38.74503285458276,54.26956036290648,30.84918054809811
3D-CNN-Only,0.1,19.297197620964603,35.25802761849762,13.008780650726237
3D-CNN-Only,0.15,10.271926862841857,22.294337032257275,4.204936817325056
3D-CNN-Only,0.2,10.168038854115263,21.999526804256714,4.815677505427363
3D-CNN-Only,0.3,9.15772796924915,20.43751510756587,5.238252294512103
3D-CNN-Only,0.5,3.945147131392359,12.351945854483924,0.7058825701683258
